Relationship	n	Majority_vote	Top_reviewer_percentile	Ontology_only	Triage	Published_retrospective_oracle
Incomplete reviewer resolution	15	17.0499403416172	34.4019768053238	52.96541791715	72.8821783702523	78.2906280792858
Reviewer consensus	4	87.3211911460516	87.3211911460516	87.3211911460516	87.3211911460516	87.3211911460516
Supported refinement	12	78.1363336706654	78.745729991578	67.72862503523	86.2877095897727	88.2441450878912
Unresolved disagreement	19	27.5456327621621	67.0316881575667	62.6076695048411	80.0515506622172	87.5180487142779
Overall	50	41.3207379247506	61.6773050311353	62.921105087124	79.9789883559478	84.9083370479894
