p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.79922693520687,0.282,0.1,0,cluster_11,MAL
0,1.75881603197236,0.749,0.289,0,cluster_11,TRAC
0,1.71819755532098,0.278,0.126,0,cluster_11,RGCC
0,1.59762981869825,0.515,0.207,0,cluster_11,BCL11B
0,1.55950697613107,0.323,0.132,0,cluster_11,FLT3LG
0,1.51493379588665,0.454,0.179,0,cluster_11,KLF2
0,1.4571913891997,0.682,0.351,0,cluster_11,LEPROTL1
0,1.34599088135629,0.785,0.36,0,cluster_11,CD3D
0,1.33758583514338,0.786,0.322,0,cluster_11,IL32
0,1.20451612011529,0.36,0.174,0,cluster_11,CD2
0,1.13302851983265,0.865,0.661,0,cluster_11,JUNB
0,1.10693865520145,0.288,0.137,0,cluster_11,GIMAP7
0,1.07166767931149,0.668,0.329,0,cluster_11,CD3E
0,1.07048907584755,0.417,0.203,0,cluster_11,CD3G
0,1.06047778612302,0.867,0.529,0,cluster_11,LTB
0,0.983422753789149,0.326,0.174,0,cluster_11,CD27
0,0.934958968774122,0.77,0.508,0,cluster_11,ZFP36L2
0,0.907041151988327,0.436,0.254,0,cluster_11,LIME1
0,0.90530856938721,0.456,0.24,0,cluster_11,TRBC1
0,0.88299832449663,0.385,0.23,0,cluster_11,CLEC2D
0,0.88071235250329,0.577,0.327,0,cluster_11,TRBC2
0,0.868005511650295,0.267,0.15,0,cluster_11,PIK3R1
0,0.841589669089171,0.347,0.197,0,cluster_11,LAT
0,0.827613341819915,0.537,0.356,0,cluster_11,NOSIP
0,0.780979342692168,0.408,0.248,0,cluster_11,PLAAT4
0,0.774631258678443,0.889,0.714,0,cluster_11,RPL36AL
0,0.768049505934205,0.416,0.304,0,cluster_11,DNAJB1
0,0.725296372826072,0.605,0.405,0,cluster_11,HLA-C
0,0.719498042850697,0.885,0.545,0,cluster_11,IFITM1
0,0.696813626160533,0.458,0.357,0,cluster_11,GSTK1
0,0.677770761670248,0.502,0.4,0,cluster_11,SMDT1
4.304780999888e-295,0.65983985540038,0.362,0.261,8.82695344027034e-293,cluster_11,TSTD1
0,0.629080894965859,0.543,0.402,0,cluster_11,SOD1
0,0.627780552068523,0.826,0.691,0,cluster_11,COMMD6
0,0.613560678147479,0.488,0.372,0,cluster_11,MGAT4A
0,0.610714313697645,0.939,0.822,0,cluster_11,TOMM7
0,0.570116609036366,0.603,0.472,0,cluster_11,N4BP2L2
0,0.565654934530957,0.493,0.322,0,cluster_11,PIK3IP1
0,0.557109129185878,0.468,0.35,0,cluster_11,ACAP1
0,0.555703662845267,0.424,0.266,0,cluster_11,LCK
0,0.541490587574456,0.686,0.549,0,cluster_11,OST4
0,0.540554108275062,0.528,0.356,0,cluster_11,FYB1
0,0.508999897076054,0.725,0.605,0,cluster_11,SNRPD2
0,0.508743231955513,0.578,0.465,0,cluster_11,SNHG32
0,0.502170544845886,0.63,0.499,0,cluster_11,CD48
0,0.496575930411288,0.925,0.696,0,cluster_11,CD52
0,0.495876543256923,0.73,0.614,0,cluster_11,FXYD5
0,0.429115486607275,0.894,0.791,0,cluster_11,COX7C
5.56893455344236e-293,0.414290627027157,0.436,0.31,1.14191003018336e-293,cluster_11,SELL
6.66091248524204e-293,0.407344433209142,0.527,0.418,1.36582010509888e-293,cluster_11,C12orf57
0,0.402051925075851,0.552,0.351,0,cluster_11,CD7
1.33788727074677e-293,0.398315587698641,0.651,0.548,2.74333784866626e-293,cluster_11,COX6C
0,0.386858071535773,0.771,0.571,0,cluster_11,LDHB
0,0.36869897252895,0.814,0.668,0,cluster_11,ARHGDIB
0,0.352637347935437,0.621,0.449,0,cluster_11,EVL
0,0.33316471380227,0.627,0.403,0,cluster_11,HCST
0,0.330059274225174,0.563,0.339,0,cluster_11,IL7R
0,0.306886390794162,0.755,0.576,0,cluster_11,CXCR4
0,0.29736669647248,0.922,0.765,0,cluster_11,SARAF
2.1798459361641197e-251,0.336888696175848,0.553,0.437,4.4697740921045206e-247,cluster_11,HSPA8
0,9.00137699253038,0.735,0.011,0,cluster_1,S100A12
0,8.68142938466647,0.272,0.001,0,cluster_1,CDA
0,8.63265160813213,0.85,0.048,0,cluster_1,S100A8
0,8.62174391312718,0.26,0.001,0,cluster_1,RBP7
0,8.23923116140659,0.896,0.063,0,cluster_1,S100A9
0,7.91758271522744,0.426,0.004,0,cluster_1,CD14
0,7.62175475060567,0.494,0.007,0,cluster_1,SERPINA1
0,7.4288043347518,0.321,0.007,0,cluster_1,RETN
0,7.42273513148144,0.602,0.008,0,cluster_1,VCAN
0,7.34635188511832,0.471,0.016,0,cluster_1,G0S2
0,7.31044346007324,0.404,0.007,0,cluster_1,CXCL8
0,7.25213813265612,0.257,0.003,0,cluster_1,MAFB
0,7.19935010696756,0.478,0.008,0,cluster_1,CLEC7A
0,7.12353377161387,0.829,0.013,0,cluster_1,CSTA
0,6.97299598709205,0.257,0.005,0,cluster_1,THBS1
0,6.58684926497657,0.985,0.061,0,cluster_1,LYZ
0,6.30859235759112,0.802,0.037,0,cluster_1,FCN1
0,6.24532216601091,0.512,0.013,0,cluster_1,MNDA
0,6.15877769640006,0.329,0.008,0,cluster_1,LGALS2
0,6.15265724331354,0.644,0.022,0,cluster_1,CFD
0,6.03370505380146,0.464,0.017,0,cluster_1,PLAUR
0,5.93751166830326,0.458,0.011,0,cluster_1,MS4A6A
0,5.72950690942455,0.304,0.015,0,cluster_1,CSF3R
0,5.72132001490775,0.753,0.038,0,cluster_1,IFI30
0,5.62732537645353,0.371,0.021,0,cluster_1,CD302
0,5.4820550517635,0.256,0.013,0,cluster_1,SLC11A1
0,5.38269812646385,0.328,0.023,0,cluster_1,MGST1
0,5.20570461876846,0.359,0.016,0,cluster_1,KLF4
0,5.1405695903761,0.346,0.024,0,cluster_1,TNFSF13B
0,5.01288759620222,0.411,0.025,0,cluster_1,CD68
0,4.93455315177774,0.253,0.016,0,cluster_1,C19orf38
0,4.90071920844712,0.536,0.073,0,cluster_1,LST1
0,4.78184859317772,0.666,0.067,0,cluster_1,TYMP
0,4.7658606682485,0.96,0.137,0,cluster_1,LGALS1
0,4.7069349991914,0.939,0.076,0,cluster_1,CST3
0,4.58959006844143,0.962,0.102,0,cluster_1,TYROBP
0,4.5677327745182,0.597,0.05,0,cluster_1,SPI1
0,4.50239509179848,0.307,0.022,0,cluster_1,CYBB
0,4.47548969692257,0.459,0.04,0,cluster_1,CFP
0,4.45852896476819,0.349,0.025,0,cluster_1,STX11
0,4.44097278352302,0.848,0.194,0,cluster_1,NAMPT
0,4.40076108419214,0.314,0.019,0,cluster_1,CEBPD
0,4.28924606722915,0.676,0.087,0,cluster_1,S100A11
0,4.11504760401801,0.672,0.123,0,cluster_1,STXBP2
0,4.10925162315475,0.346,0.038,0,cluster_1,LGALS3
0,4.09159407425011,0.803,0.25,0,cluster_1,AIF1
0,4.00028969834841,0.668,0.129,0,cluster_1,TIMP1
0,3.87805287713189,0.345,0.054,0,cluster_1,PLSCR1
0,3.87248652810666,0.295,0.045,0,cluster_1,SCO2
0,3.83113516412797,0.413,0.057,0,cluster_1,GRN
0,3.75530889021355,0.308,0.04,0,cluster_1,LY96
0,3.74894399088834,0.811,0.088,0,cluster_1,FCER1G
0,3.70903225533174,0.819,0.217,0,cluster_1,CTSS
0,3.70443728469082,0.376,0.039,0,cluster_1,FOSL2
0,3.69594899940578,0.35,0.049,0,cluster_1,BCL2A1
